file,result,phase,errors_number,warnings_number,errors_messages,warnings_messages
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_060.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_021D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_038.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_010.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_001.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_033.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_019.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_044D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_003D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_026D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_031.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_054.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/BR6904183_032.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_021.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
/home/app/input/ab063ade-c939-4c4e-bbd6-357d8bc4ab73/R6904183_045D.nc,FILE-ACCEPTED,FILE-NAME-CHECK,0,0,,
